Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2015-07-13	13.9	19	8.2	22.4	10.2	1	387.399923166667
2015-07-14	12.9	19.2	6.5	20.4	10.9	1	389.3317825
2015-07-15	11.9	14	10.1	6.1	13.1	1	388.804675190476
2015-07-16	13.9	17.6	11	12.1	13.3	1	387.831105714286
2015-07-17	13.7	19	7.5	22.9	9.3	1	389.674022395833
2015-07-18	11.2	17.7	4.7	10.4	11.1	1	389.541256818182
2015-07-19	14.1	19.8	8.3	20.8	11	1	390.109553888889
2015-07-20	13.3	19.3	5.5	24.6	7.9	1	388.790501041667
2015-07-21	13.1	20.3	4.3	21.5	9.5	1	388.84201171875
2015-07-22	12.3	18.5	8.1	12.6	12.8	1	386.981606173913
2015-07-23	12.4	17.8	7.5	13.8	12.6	1	389.749104166667
2015-07-24	13	18.3	7.1	11.8	12.7	1	388.968154545455
2015-07-25	12.3	18.8	5.5	20.5	9.8	1	388.851707692308
2015-07-26	12.1	14	8.2	3.4	12.7	1	390.199388967742
2015-07-27	13.1	15	9.4	7.8	14.4	1	393.725009259259
2015-07-28	13.7	19.7	7.8	18.2	12.3	1	385.54743
2015-07-29	13.8	19.1	7.7	15.2	12.7	1	388.72254335
2015-07-30	12.8	15.7	10.3	6.8	14.1	1	391.69102125
2015-07-31	13.9	20	10.7	13.5	14.2	1	388.140462
2015-08-01	12.8	16.7	8.8	10.7	12.8	1	389.873025
2015-08-02	13.1	19.2	8.9	14.5	12.3	1	392.257172619048
2015-08-03	13.5	19.1	9.1	15.3	12.2	1	390.3877975
2015-08-04	14.3	20.8	8.4	19.4	11.4	1	389.09009
2015-08-05	14.1	19.7	7.9	10.3	13.2	1	388.18329537037
2015-08-06	15.5	19.1	13	6.3	15.8	1	391.94239875
2015-08-07	16.9	23.8	11.8	17.5	14.6	1	390.803315625
2015-08-08	15.1	20.9	9.7	16.8	12.3	1	391.499380714286
2015-08-09	13.4	17.4	8	10.8	10.9	1	390.25485
2015-08-10	13.8	19.9	6	14.1	12.5	1	389.893175
2015-08-11	14.7	18.8	10.8	8.7	15.2	1	391.559554032258
2015-08-12	14	19.5	8.1	17.6	10.3	1	391.921441038462
2015-08-13	12.4	18.6	6.8	18.9	9	1	389.041057758621
2015-08-14	13.8	20.4	8.2	15	11.1	1	390.020917
2015-08-15	13	19.4	7.6	12.7	11.2	1	386.714391176471
2015-08-16	12.8	20.4	4.7	19.6	10.5	1	389.11089375
2015-08-17	13.4	23.4	3.2	19.4	9.5	1	386.626390277778
2015-08-18	14.1	24.3	4.3	19.5	8.9	1	385.563670454545
2015-08-19	14.3	23.9	4.5	18.8	11	1	386.109072058824
2015-08-20	15.4	25.4	5.7	18.5	11.8	1	387.4637875
2015-08-21	15.4	25	7.5	18.5	12.1	1	386.45144868421
2015-08-22	15.2	24.3	6.6	18.1	10.6	1	386.532072727273
2015-08-23	14.4	24.1	5.8	14.3	11.9	1	388.550756547619
2015-08-24	14.8	24.1	6.7	17.4	11	1	387.519136714286
2015-08-25	14.5	23.9	5.9	15.8	11.2	1	385.696
2015-08-26	14.9	22.8	9.1	7.7	13.9	1	391.454957051282
2015-08-27	15.3	19.7	13.2	8.5	15.5	1	392.458526041667
2015-08-28	14.2	17.7	10.6	10.7	13.9	1	392.686144270833
2015-08-29	12.6	18.1	7.4	14	10.7	1	391.09101484375
2015-08-30	11.5	20	3.6	13.5	10.2	1	387.149238888889
2015-08-31	11	19.6	3.5	14.4	10	1	386.502716129032
2015-09-01	9.2	16.1	3.6	13	8.6	1	390.064366
2015-09-02	7.9	13.9	2.2	11.9	8.1	1	386.834917611111
2015-09-03	8.2	16.2	2.1	13.5	8.3	1	385.530745
2015-09-04	8.8	16.8	-0.1	8.6	9.5	1	389.5629425
2015-09-05	10.9	16.1	8.2	6.1	12.1	1	389.552870534884
2015-09-06	9.2	13.9	5.5	6.9	9.2	1	389.62928828125
2015-09-07	8	12.5	1.7	11.3	7.8	1	388.876202586207
2015-09-08	8.1	14.8	2.7	13.6	7.4	1	388.908411904762
2015-09-09	9.2	16	2.6	10.3	9.3	1	389.001254166667
2015-09-10	9.3	18.2	2.6	12.9	8.9	1	387.9060640625
2015-09-11	9.8	19.8	1.5	12.6	9.7	1	386.082005769231
2015-09-12	10.4	16.6	4.1	9.9	11.2	1	389.057903378378
2015-09-13	10.6	15.2	5.7	4.3	11.9	1	392.5278890625
2015-09-14	11.4	15.9	6.8	7.9	11.4	1	390.953239583333
2015-09-15	11.8	16.6	6.2	8.7	11	1	391.806579166667
2015-09-16	11.7	14.4	9.9	4.1	13.1	1	397.2100203125
2015-09-17	12.1	14	10.2	1.8	13.5	1	403.685814416667
2015-09-18	13.5	14.2	12.2	1.2	14.8	1	406.017494270833
2015-09-19	11.1	14.1	7.5	5.6	11.4	1	397.0119046875
2015-09-20	8.8	12.7	5.5	5.4	10.3	1	392.054135416667
2015-09-21	9.9	14.9	5.8	4.8	11.1	1	393.936984375
2015-09-22	10.2	14.6	6.5	6.7	10.7	1	394.314655208333
2015-09-23	9.8	11.6	7.3	2	11.6	1	397.326536979167
2015-09-24	11.1	14	9.6	3.6	12.4	1	399.0518265625
2015-09-25	9.5	12.5	2.2	3.7	11.1	1	395.3569194375
2015-09-26	6.4	13.3	-0.4	8.8	7.8	1	391.219162854167
2015-09-27	8.9	13.9	4.8	6.7	8.7	1	395.11015175
2015-09-28	7.4	13.1	2.2	7.2	8.2	1	394.929498083333
2015-09-29	7.2	13.1	2	4.3	9.2	1	393.786628125
2015-09-30	8.4	13.3	3.1	6.6	7.8	1	390.643538020833
2015-10-01	8.1	12	3.4	3.6	8.3	1	391.509096354167
2015-10-02	8.6	12.5	2.7	5.6	8.1	1	392.193425166667
2015-10-03	4.9	9.9	0.3	7.4	6.1	1	390.8136828125
2015-10-04	5.7	11.8	0.3	6.3	6.5	1	392.513768229167
2015-10-05	0.7	7	-4.5	NaN	4.7	0	390.732411979167
2015-10-06	-1.1	6.2	-5.6	NaN	4.5	0	390.553368229167
2015-10-07	1.2	7.3	-3.5	NaN	5.6	0	391.794314583333
2015-10-08	2.6	7	-1.2	NaN	5.6	0	392.930198958333
2015-10-09	0.5	5.1	-5	NaN	5	0	391.768418229167
2015-10-10	-0.9	4.9	-5.5	NaN	5.3	0	392.274886979167
2015-10-11	1.5	11.5	-4.2	NaN	6.1	0	394.3496984375
2015-10-12	2	11.7	-1.8	NaN	6.5	0	394.317636979167
2015-10-13	1.9	9.1	-2.9	NaN	6.3	0	395.452347916667
2015-10-14	3.5	11.1	-1.7	NaN	6.9	0	393.609024479167
2015-10-15	4.8	11.5	-0.7	NaN	6.7	0	395.018213708333
2015-10-16	6.9	11.8	3.3	NaN	7.8	0	395.814158333333
2015-10-17	8.4	11.1	5.2	NaN	8.6	0	395.854661979167
2015-10-18	5.5	11.4	-0.1	NaN	7.4	0	393.528452083333
2015-10-19	0.8	7.8	-2.1	NaN	6	0	393.322236291667
2015-10-20	0.4	4.1	-4.3	NaN	6.1	0	396.384880729167
2015-10-21	3.9	6	1.4	NaN	7.7	0	399.998629166667
2015-10-22	5.6	7.3	1.6	NaN	8.7	0	402.1162578125
2015-10-23	6.1	9.1	0.5	NaN	8.2	0	400.373390625
2015-10-24	2.5	7.5	-3	NaN	6.9	0	396.091503645833
2015-10-25	5.9	8.1	1.2	NaN	8.8	0	399.4338875
2015-10-26	2	5.4	-1.1	NaN	6.2	0	394.180583333333
2015-10-27	-1.6	5.9	-8.3	NaN	4.1	0	393.400798958333
2015-10-28	-4.7	-0.4	-9	NaN	3.9	0	395.104021354167
2015-10-29	-3.3	1.9	-6.8	NaN	4.3	0	394.731814583333
2015-10-30	-1	3.1	-5.2	NaN	5.5	0	396.472508854167
2015-10-31	2.7	5.9	0	NaN	6.9	0	399.793105729167
2015-11-01	6.6	10.8	2.3	NaN	7.8	0	399.874309895833
2015-11-02	9.7	12.8	4.9	NaN	8.6	0	397.924573083333
2015-11-03	5.7	11.6	0	NaN	7.9	0	399.854492708333
2015-11-04	5.2	8.1	-1.1	NaN	7.1	0	398.889161458333
2015-11-05	-1.7	2.5	-3.6	NaN	5.1	0	395.952508333333
2015-11-06	1.7	3.8	-1.8	NaN	6.7	0	405.91343125
2015-11-07	4.1	6.4	1.3	NaN	8	0	410.307992708333
2015-11-08	1.1	4.2	-1.9	NaN	6.4	0	404.622594458333
2015-11-09	2.2	5	-2.2	NaN	7	0	400.273869791667
2015-11-10	-0.5	2.9	-3.5	NaN	5.7	0	402.118084729167
2015-11-11	-1.9	0	-4.1	NaN	5.2	0	399.569040104167
2015-11-12	-4.6	-2.9	-6.2	NaN	4.2	0	403.989208333333
2015-11-13	-0.6	3.7	-6.4	NaN	5.8	0	402.509827083333
2015-11-14	-0.6	3.2	-3.4	NaN	5.7	0	403.210104166667
2015-11-15	-0.7	0	-2.9	NaN	5.6	0	405.219594625
2015-11-16	-1.8	-0.4	-2.5	NaN	5.2	0	408.459646520833
2015-11-17	0.9	3.3	-0.5	NaN	6.3	0	404.26159375
2015-11-18	-0.5	0.3	-3.5	NaN	5.7	0	403.524588541667
2015-11-19	-2.4	-1.3	-4.5	NaN	5	0	408.450086979167
2015-11-20	-2.8	-0.2	-5.7	NaN	4.8	0	402.0037796875
2015-11-21	-4.9	-3.8	-6	NaN	3.8	0	398.705353645833
2015-11-22	-8	-5.2	-14.4	NaN	3	0	398.044019791667
2015-11-23	-15.5	-13.4	-16.8	NaN	1.6	0	396.915457446808
2015-11-24	-3.5	-0.1	-13.6	NaN	4.6	0	400.588950723404
2015-11-25	0.1	1.2	-2.1	NaN	5.9	0	406.637141489362
2015-11-26	-1.8	0.4	-3.5	NaN	5.1	0	399.979443255319
2015-11-27	0.9	3.5	-1.3	NaN	6.1	0	399.629922510638
2015-11-28	0.1	2.7	-1.2	NaN	6	0	399.09958387234
2015-11-29	-0.1	1.9	-3	NaN	5.9	0	400.558440957447
2015-11-30	-0.7	0.9	-2.7	NaN	5.6	0	402.156128021277
2015-12-01	-3.5	-2.7	-4.6	NaN	4.3	0	403.265291489362
2015-12-02	-4.2	-0.6	-8.1	NaN	4.3	0	399.759573958333
2015-12-03	-2.5	-0.1	-5.8	NaN	4.9	0	399.3464475625
2015-12-04	-4.1	-0.7	-8.1	NaN	4.4	0	400.094965104167
2015-12-05	-3.2	2.1	-10.5	NaN	4.8	0	399.9426211875
2015-12-06	-3.4	0.1	-5.1	NaN	4.6	0	399.381012854167
2015-12-07	0.4	2.7	-2.9	NaN	4.9	0	399.927390625
2015-12-08	-2.1	0	-4.4	NaN	4.6	0	400.681978645833
2015-12-09	0.8	2.6	-0.9	NaN	6.2	0	405.274284375
